client_id,latency_ms,memory_spike_mb
2,2071.974992752075,2.66015625
1,1972.646713256836,0
3,1899.9319076538086,1.98828125
4,1982.2275638580322,2.703125
0,1946.8588829040527,2.359375
2,2000.9210109710693,3.65625
1,1977.8051376342773,0
3,1937.4189376831055,0.38671875
4,1726.5453338623047,0.41796875
0,1714.8048877716064,0.3046875
2,1597.3598957061768,0
3,2051.0189533233643,1.9609375
4,2044.4934368133545,2.41796875
2,2122.2681999206543,3.62890625
1,2066.4994716644287,2.8203125
0,2097.395658493042,3.23046875
3,2006.2389373779297,0
4,2058.255672454834,2.87109375
1,2053.581476211548,1.94921875
0,2066.650867462158,2.65234375
2,2084.883689880371,3.26171875
3,1964.6012783050537,2.76953125
4,2035.6292724609375,2.875
0,2001.272439956665,3.265625
2,2020.6589698791504,3.2890625
1,2071.187973022461,0
3,2100.8200645446777,2.73046875
4,2042.9365634918213,2.8046875
0,2048.253059387207,3.27734375
2,2067.202568054199,2.3984375
1,2054.9228191375732,3.13671875
4,2016.9882774353027,2.3984375
3,2066.765308380127,1.98828125
0,2001.3465881347656,2.39453125
2,2009.4985961914062,2.05078125
1,2053.7455081939697,2.31640625
4,2014.6796703338623,0
3,2051.1274337768555,0.36328125
0,2105.8061122894287,2.3984375
1,2045.4564094543457,2.34765625
2,2082.0391178131104,2.73828125
4,2066.1613941192627,1.98046875
3,2015.4149532318115,2.39453125
2,1990.8764362335205,2.05078125
0,2016.376256942749,2.0625
1,2041.022777557373,2.76953125
4,1912.625789642334,2.80859375
3,1989.814043045044,2.37890625
0,1993.1855201721191,2.73828125
2,2027.0936489105225,2.73828125
1,2013.8874053955078,2.76171875
2,1765.5470371246338,1.91015625
4,2303.2350540161133,2.453125
3,2267.0938968658447,2.05859375
0,2281.996250152588,2.37890625
1,2251.4846324920654,1.9609375
2,1924.2305755615234,0.421875
4,2008.0599784851074,2.81640625
3,1997.8106021881104,2.734375
1,2055.4306507110596,3.1328125
0,2148.082494735718,2.66796875
2,1948.1680393218994,2.6796875
4,1970.5028533935547,2.40234375
3,2028.1202793121338,2.0546875
1,2037.4629497528076,2.3203125
0,1998.2919692993164,2.39453125
2,1987.7955913543701,2.39453125
4,1914.4577980041504,2.39453125
3,2081.665277481079,2.3828125
1,1988.3651733398438,2.34765625
0,2032.052993774414,2.39453125
2,1945.2424049377441,2.05078125
4,2028.3827781677246,1.98046875
3,2033.0042839050293,0.80078125
1,1978.9807796478271,2.76953125
0,1943.613052368164,2.0625
2,2021.9154357910156,2.73828125
4,1952.2855281829834,2.8125
3,2014.3637657165527,1.9453125
1,1999.0336894989014,2.76171875
0,2067.721366882324,2.73046875
2,2001.6653537750244,0
4,2011.518955230713,2.453125
3,2050.6181716918945,3.10546875
1,2060.3795051574707,1.9609375
0,2067.525625228882,2.37890625
2,1940.0663375854492,2.76171875
4,1917.2959327697754,2.8359375
3,1822.1986293792725,0
1,1783.4093570709229,3.16796875
0,1715.1715755462646,2.69140625
3,2026.1967182159424,3.2421875
4,2057.9190254211426,2.09375
1,2120.889663696289,2.04296875
0,2092.9534435272217,2.3359375
2,2089.9596214294434,2.74609375
3,1958.4169387817383,1.94140625
4,1990.3554916381836,3.19140625
1,1965.4922485351562,3.23046875
2,1946.382999420166,2.32421875
0,1987.2806072235107,0
1,1982.5148582458496,0.45703125
4,2031.489610671997,2.85546875
3,2092.3476219177246,2.765625
2,2005.474328994751,2.37890625
0,2028.449296951294,3.625
1,2093.3799743652344,2.37109375
3,2105.283260345459,2.328125
2,2113.22021484375,2.7109375
4,2180.185556411743,1.9453125
0,2101.1927127838135,3.28515625
1,2099.3707180023193,2.39453125
2,2062.6368522644043,2.39453125
3,2088.0696773529053,3.10546875
0,2038.1855964660645,2.3984375
4,2053.145408630371,3.1328125
0,2080.026149749756,2.390625
1,2145.0717449188232,2.39453125
3,2137.0906829833984,2.1484375
2,2163.019895553589,2.39453125
4,2153.475522994995,2.39453125
1,1970.3829288482666,1.98046875
2,1921.9095706939697,2.05859375
0,1987.3363971710205,2.3671875
4,1914.9181842803955,2.02734375
3,1975.4955768585205,2.82421875
2,2006.1283111572266,0.30859375
3,1986.8507385253906,2.73046875
0,2048.0499267578125,2.6484375
1,2066.349506378174,2.31640625
4,2073.9879608154297,2.78125
2,2121.56081199646,2.37890625
0,2081.7196369171143,2.65625
3,2156.505584716797,1.98828125
4,2101.428270339966,1.9609375
1,2186.5644454956055,3.1796875
2,763.3883953094482,2.3828125
0,2061.213254928589,2.67578125
4,2027.808666229248,3.13671875
3,2108.973264694214,3.10546875
1,2180.901288986206,2.390625
2,2139.0228271484375,2.5234375
0,2117.798089981079,2.3984375
4,2150.8665084838867,2.39453125
3,2261.674642562866,2.39453125
1,2145.9484100341797,2.39453125
2,2064.049482345581,0
0,2247.859477996826,2.390625
4,2435.072183609009,2.39453125
1,2300.830364227295,2.39453125
3,2333.876609802246,2.00390625
2,2086.6968631744385,3.78125
0,1926.3403415679932,0
4,1972.6581573486328,0
3,1952.0370960235596,2.76953125
1,2012.8583908081055,1.98046875
2,1879.9262046813965,3.27734375
0,1973.4089374542236,3.26171875
2,1634.711503982544,0
4,2020.223617553711,0.32421875
3,1959.3009948730469,2.78125
1,2047.8665828704834,2.80859375
0,2349.576950073242,3.265625
2,2246.1283206939697,0.40625
4,2302.2894859313965,1.9609375
3,2298.513650894165,2.1484375
1,2283.5493087768555,2.453125
0,1697.335958480835,0.00390625
4,1676.3854026794434,0.41796875
3,1667.1292781829834,0.2265625
1,1623.0602264404297,0
0,2092.6482677459717,3.80078125
3,2136.680841445923,2.828125
4,2152.071475982666,1.95703125
1,2168.6835289001465,2.41796875
2,2184.1440200805664,2.3359375
3,2087.8453254699707,2.375
0,2127.4845600128174,3.83203125
4,2101.815938949585,2.69921875
1,2133.436918258667,0
2,2131.7601203918457,2.65234375
3,2066.819190979004,1.95703125
0,2082.8604698181152,3.26171875
4,2075.044631958008,2.76953125
1,2070.446491241455,0.9375
2,2132.028818130493,2.3359375
3,2086.080312728882,0
0,2091.5045738220215,3.26171875
4,2089.510440826416,2.734375
1,2083.8842391967773,2.875
2,2080.7859897613525,2.73828125
1,1922.7347373962402,0
4,1935.6791973114014,1.98828125
0,1956.178903579712,0
3,2004.4877529144287,2.765625
2,1928.20143699646,2.76953125
1,2045.3801155090332,2.8671875
0,2054.952383041382,2.71484375
3,2046.290636062622,2.328125
4,2092.2369956970215,0.36328125
2,2024.5046615600586,3.28515625
